building_id,room_id,room_name,Hour,Length of Class,building_name,abbr_building_name,class_number,Full Name of Space
4,117,112 Classroom,840,60,Clarke,CLK,112,CLK112
4,117,112 Classroom,765,60,Clarke,CLK,112,CLK112
4,117,112 Classroom,540,60,Clarke,CLK,112,CLK112
4,117,112 Classroom,630,120,Clarke,CLK,112,CLK112
4,117,112 Classroom,900,150,Clarke,CLK,112,CLK112
4,118,114 Classroom,690,90,Clarke,CLK,114,CLK114
4,118,114 Classroom,585,90,Clarke,CLK,114,CLK114
4,118,114 Classroom,840,60,Clarke,CLK,114,CLK114
4,118,114 Classroom,900,60,Clarke,CLK,114,CLK114
4,1233,121 Classroom,480,540,Clarke,CLK,121,CLK121
4,1234,127 Classroom,480,90,Clarke,CLK,127,CLK127
4,1234,127 Classroom,585,90,Clarke,CLK,127,CLK127
4,1234,127 Classroom,765,60,Clarke,CLK,127,CLK127
4,1234,127 Classroom,840,60,Clarke,CLK,127,CLK127
4,1235,127/133 Classroom Combo,480,90,Clarke,CLK,127/133,CLK127/133
4,1235,127/133 Classroom Combo,585,90,Clarke,CLK,127/133,CLK127/133
4,1235,127/133 Classroom Combo,480,90,Clarke,CLK,127/133,CLK127/133
4,1235,127/133 Classroom Combo,585,90,Clarke,CLK,127/133,CLK127/133
4,1235,127/133 Classroom Combo,765,60,Clarke,CLK,127/133,CLK127/133
4,1235,127/133 Classroom Combo,765,60,Clarke,CLK,127/133,CLK127/133
4,1235,127/133 Classroom Combo,840,60,Clarke,CLK,127/133,CLK127/133
4,121,133 Classroom,480,90,Clarke,CLK,133,CLK133
4,121,133 Classroom,585,90,Clarke,CLK,133,CLK133
4,121,133 Classroom,765,60,Clarke,CLK,133,CLK133
4,122,135 Classroom,480,120,Clarke,CLK,135,CLK135
4,122,135 Classroom,615,60,Clarke,CLK,135,CLK135
4,122,135 Classroom,690,90,Clarke,CLK,135,CLK135
4,123,139 Classroom,690,60,Clarke,CLK,139,CLK139
4,123,139 Classroom,540,60,Clarke,CLK,139,CLK139
4,123,139 Classroom,615,60,Clarke,CLK,139,CLK139
4,123,139 Classroom,765,60,Clarke,CLK,139,CLK139
4,124,141 Classroom - laptop,480,120,Clarke,CLK,141,CLK141
4,124,141 Classroom - laptop,615,60,Clarke,CLK,141,CLK141
4,124,141 Classroom - laptop,840,60,Clarke,CLK,141,CLK141
4,124,141 Classroom - laptop,915,60,Clarke,CLK,141,CLK141
4,124,141 Classroom - laptop,765,60,Clarke,CLK,141,CLK141
4,125,143 Classroom,690,60,Clarke,CLK,143,CLK143
4,125,143 Classroom,795,90,Clarke,CLK,143,CLK143
4,125,143 Classroom,540,60,Clarke,CLK,143,CLK143
4,125,143 Classroom,615,60,Clarke,CLK,143,CLK143
4,126,148 Classroom,795,90,Clarke,CLK,148,CLK148
4,126,148 Classroom,690,60,Clarke,CLK,148,CLK148
4,126,148 Classroom,570,120,Clarke,CLK,148,CLK148
4,418,149 Classroom,690,60,Clarke,CLK,149,CLK149
4,418,149 Classroom,765,60,Clarke,CLK,149,CLK149
4,418,149 Classroom,615,60,Clarke,CLK,149,CLK149
4,418,149 Classroom,540,60,Clarke,CLK,149,CLK149
4,419,214 Classroom,915,90,Clarke,CLK,214,CLK214
4,419,214 Classroom,480,90,Clarke,CLK,214,CLK214
4,419,214 Classroom,795,90,Clarke,CLK,214,CLK214
4,419,214 Classroom,690,90,Clarke,CLK,214,CLK214
4,420,216 Classroom,540,60,Clarke,CLK,216,CLK216
4,420,216 Classroom,615,60,Clarke,CLK,216,CLK216
4,420,216 Classroom,840,60,Clarke,CLK,216,CLK216
4,420,216 Classroom,690,60,Clarke,CLK,216,CLK216
4,420,216 Classroom,765,60,Clarke,CLK,216,CLK216
4,860,225 Classroom,540,60,Clarke,CLK,225,CLK225
4,860,225 Classroom,690,60,Clarke,CLK,225,CLK225
4,860,225 Classroom,615,60,Clarke,CLK,225,CLK225
4,860,225 Classroom,765,60,Clarke,CLK,225,CLK225
4,860,225 Classroom,840,60,Clarke,CLK,225,CLK225
4,861,229 Classroom,690,60,Clarke,CLK,229,CLK229
4,861,229 Classroom,765,60,Clarke,CLK,229,CLK229
4,861,229 Classroom,840,60,Clarke,CLK,229,CLK229
4,861,229 Classroom,615,60,Clarke,CLK,229,CLK229
4,862,235 Classroom,795,90,Clarke,CLK,235,CLK235
4,862,235 Classroom,540,60,Clarke,CLK,235,CLK235
4,862,235 Classroom,690,90,Clarke,CLK,235,CLK235
4,862,235 Classroom,615,60,Clarke,CLK,235,CLK235
4,862,235 Classroom,885,15,Clarke,CLK,235,CLK235
4,864,235/239 Classroom Combo,795,90,Clarke,CLK,235/239,CLK235/239
4,864,235/239 Classroom Combo,795,90,Clarke,CLK,235/239,CLK235/239
4,864,235/239 Classroom Combo,480,90,Clarke,CLK,235/239,CLK235/239
4,864,235/239 Classroom Combo,540,60,Clarke,CLK,235/239,CLK235/239
4,864,235/239 Classroom Combo,690,90,Clarke,CLK,235/239,CLK235/239
4,864,235/239 Classroom Combo,585,90,Clarke,CLK,235/239,CLK235/239
4,864,235/239 Classroom Combo,615,60,Clarke,CLK,235/239,CLK235/239
4,864,235/239 Classroom Combo,690,90,Clarke,CLK,235/239,CLK235/239
4,864,235/239 Classroom Combo,885,15,Clarke,CLK,235/239,CLK235/239
4,863,239 Classroom,795,90,Clarke,CLK,239,CLK239
4,863,239 Classroom,480,90,Clarke,CLK,239,CLK239
4,863,239 Classroom,585,90,Clarke,CLK,239,CLK239
4,863,239 Classroom,690,90,Clarke,CLK,239,CLK239
4,863,239 Classroom,885,15,Clarke,CLK,239,CLK239
4,903,269 Classroom - Infant,765,60,Clarke,CLK,269,CLK269
4,903,269 Classroom - Infant,840,240,Clarke,CLK,269,CLK269
4,903,269 Classroom - Infant,615,60,Clarke,CLK,269,CLK269
4,135,317 Classroom,585,90,Clarke,CLK,317,CLK317
4,135,317 Classroom,690,90,Clarke,CLK,317,CLK317
4,135,317 Classroom,840,60,Clarke,CLK,317,CLK317
4,136,319 Classroom,540,60,Clarke,CLK,319,CLK319
4,136,319 Classroom,615,60,Clarke,CLK,319,CLK319
4,136,319 Classroom,840,60,Clarke,CLK,319,CLK319
4,136,319 Classroom,690,60,Clarke,CLK,319,CLK319
4,136,319 Classroom,765,60,Clarke,CLK,319,CLK319
4,136,319 Classroom,915,60,Clarke,CLK,319,CLK319
4,139,323 Classroom,480,120,Clarke,CLK,323,CLK323
4,139,323 Classroom,615,60,Clarke,CLK,323,CLK323
4,139,323 Classroom,690,60,Clarke,CLK,323,CLK323
4,139,323 Classroom,840,60,Clarke,CLK,323,CLK323
4,139,323 Classroom,915,60,Clarke,CLK,323,CLK323
4,139,323 Classroom,765,60,Clarke,CLK,323,CLK323
4,140,329 Classroom,840,60,Clarke,CLK,329,CLK329
4,140,329 Classroom,915,60,Clarke,CLK,329,CLK329
4,140,329 Classroom,615,60,Clarke,CLK,329,CLK329
4,140,329 Classroom,765,60,Clarke,CLK,329,CLK329
4,140,329 Classroom,690,60,Clarke,CLK,329,CLK329
4,1230,337 Classroom with dining capabilities,690,60,Clarke,CLK,337,CLK337
4,1230,337 Classroom with dining capabilities,765,120,Clarke,CLK,337,CLK337
4,1230,337 Classroom with dining capabilities,480,90,Clarke,CLK,337,CLK337
4,1230,337 Classroom with dining capabilities,585,90,Clarke,CLK,337,CLK337
4,144,341 Classroom,765,60,Clarke,CLK,341,CLK341
4,144,341 Classroom,1035,60,Clarke,CLK,341,CLK341
4,144,341 Classroom,915,60,Clarke,CLK,341,CLK341
4,144,341 Classroom,465,60,Clarke,CLK,341,CLK341
4,144,341 Classroom,690,60,Clarke,CLK,341,CLK341
4,144,341 Classroom,840,60,Clarke,CLK,341,CLK341
4,144,341 Classroom,540,60,Clarke,CLK,341,CLK341
4,144,341 Classroom,615,60,Clarke,CLK,341,CLK341
4,1272,341/343 Classrooom Combo,690,60,Clarke,CLK,341/343,CLK341/343
4,1272,341/343 Classrooom Combo,765,60,Clarke,CLK,341/343,CLK341/343
4,1272,341/343 Classrooom Combo,465,60,Clarke,CLK,341/343,CLK341/343
4,1272,341/343 Classrooom Combo,540,60,Clarke,CLK,341/343,CLK341/343
4,1272,341/343 Classrooom Combo,1035,60,Clarke,CLK,341/343,CLK341/343
4,1272,341/343 Classrooom Combo,915,60,Clarke,CLK,341/343,CLK341/343
4,1272,341/343 Classrooom Combo,465,60,Clarke,CLK,341/343,CLK341/343
4,1272,341/343 Classrooom Combo,615,60,Clarke,CLK,341/343,CLK341/343
4,1272,341/343 Classrooom Combo,690,60,Clarke,CLK,341/343,CLK341/343
4,1272,341/343 Classrooom Combo,765,60,Clarke,CLK,341/343,CLK341/343
4,1272,341/343 Classrooom Combo,840,60,Clarke,CLK,341/343,CLK341/343
4,1272,341/343 Classrooom Combo,540,60,Clarke,CLK,341/343,CLK341/343
4,1272,341/343 Classrooom Combo,615,60,Clarke,CLK,341/343,CLK341/343
4,1231,343 Classroom ,690,60,Clarke,CLK,343,CLK343
4,1231,343 Classroom ,465,60,Clarke,CLK,343,CLK343
4,1231,343 Classroom ,540,60,Clarke,CLK,343,CLK343
4,1231,343 Classroom ,615,60,Clarke,CLK,343,CLK343
4,1231,343 Classroom ,765,60,Clarke,CLK,343,CLK343
4,146,351 Classroom ,840,60,Clarke,CLK,351,CLK351
4,146,351 Classroom ,765,60,Clarke,CLK,351,CLK351
4,146,351 Classroom ,585,90,Clarke,CLK,351,CLK351
4,146,351 Classroom ,1020,90,Clarke,CLK,351,CLK351
4,146,351 Classroom ,690,60,Clarke,CLK,351,CLK351
4,146,351 Classroom ,915,90,Clarke,CLK,351,CLK351
24,407,Sports Complex Field 2,360,150,Fields,,Sports,Sports
