building_id,room_id,room_name,Hour,Length of Class
6,447,240/260/270 Chapel and Overflow,690,60
6,447,240/260/270 Chapel and Overflow,690,60
6,447,240/260/270 Chapel and Overflow,765,60
6,447,240/260/270 Chapel and Overflow,765,60
6,447,240/260/270 Chapel and Overflow,1005,60
6,447,240/260/270 Chapel and Overflow,1125,15
6,157,245 Classroom,1140,90
6,157,245 Classroom,765,60
6,157,245 Classroom,690,60
6,157,245 Classroom,615,60
6,157,245 Classroom,540,60
6,157,245 Classroom,465,60
6,157,245 Classroom,1065,60
6,157,245 Classroom,840,60
6,159,257 Classroom,1140,90
6,159,257 Classroom,615,60
6,159,257 Classroom,765,60
6,159,257 Classroom,540,60
6,159,257 Classroom,465,60
6,159,257 Classroom,1065,60
6,159,257 Classroom,690,60
6,160,260 Gym ,690,60
6,160,260 Gym ,765,60
6,160,260 Gym ,1005,60
6,160,260 Gym ,1125,15
6,430,260/270 Gym,915,60
6,430,260/270 Gym,690,60
6,430,260/270 Gym,690,60
6,430,260/270 Gym,765,60
6,430,260/270 Gym,765,60
6,430,260/270 Gym,1005,60
6,430,260/270 Gym,1125,15
6,161,270 Gym,915,60
6,161,270 Gym,690,60
6,161,270 Gym,765,60
6,161,270 Gym,1005,60
6,161,270 Gym,1125,15
6,162,271 Classroom,1140,90
6,162,271 Classroom,915,60
6,162,271 Classroom,840,60
6,162,271 Classroom,690,60
6,162,271 Classroom,540,60
6,162,271 Classroom,765,60
6,163,277 Classroom,1140,90
6,163,277 Classroom,690,60
6,163,277 Classroom,765,255
6,163,277 Classroom,540,135
6,165,286 Multipurpose,615,60
6,165,286 Multipurpose,1110,30
6,165,286 Multipurpose,765,60
6,165,286 Multipurpose,840,60
6,165,286 Multipurpose,540,60
6,165,286 Multipurpose,690,60
6,167,307 Classroom,1140,90
6,167,307 Classroom,765,60
6,167,307 Classroom,690,60
6,167,307 Classroom,840,90
6,168,333 Classroom,540,60
6,168,333 Classroom,615,60
6,168,333 Classroom,945,60
6,168,333 Classroom,765,120
6,758,333/335 Combined Classrooms,540,60
6,758,333/335 Combined Classrooms,540,60
6,758,333/335 Combined Classrooms,690,90
6,758,333/335 Combined Classrooms,615,60
6,758,333/335 Combined Classrooms,795,90
6,758,333/335 Combined Classrooms,990,60
6,758,333/335 Combined Classrooms,945,60
6,758,333/335 Combined Classrooms,765,120
6,169,335 Classroom,540,60
6,169,335 Classroom,690,90
6,169,335 Classroom,795,90
6,169,335 Classroom,990,60
6,170,371 Classroom,1140,90
6,170,371 Classroom,615,60
6,170,371 Classroom,840,60
6,170,371 Classroom,690,60
6,170,371 Classroom,540,60
6,170,371 Classroom,915,60
6,170,371 Classroom,765,60
6,171,381 Classroom,690,60
6,171,381 Classroom,915,60
6,759,381/383 Combined Classrooms,690,60
6,759,381/383 Combined Classrooms,690,60
6,759,381/383 Combined Classrooms,540,60
6,759,381/383 Combined Classrooms,840,60
6,759,381/383 Combined Classrooms,615,60
6,759,381/383 Combined Classrooms,915,60
6,759,381/383 Combined Classrooms,915,60
6,172,383 Classroom,690,60
6,172,383 Classroom,540,60
6,172,383 Classroom,840,60
6,172,383 Classroom,615,60
6,172,383 Classroom,915,60
8,201,138 Conference Room,600,240
8,201,138 Conference Room,900,120
8,201,138 Conference Room,1140,60
8,207,243 Conference Room,1140,60
8,208,245 Classroom,540,60
8,208,245 Classroom,615,60
8,208,245 Classroom,1140,60
8,208,245 Classroom,765,60
8,209,268 Conference  Room,900,120
8,209,268 Conference  Room,630,60
12,532,176A Meeting Room,915,60
12,532,176A Meeting Room,450,30
12,532,176A Meeting Room,780,120
12,535,176B Meeting Room,780,90
12,535,176B Meeting Room,960,60
12,535,176B Meeting Room,690,60
12,535,176B Meeting Room,615,60
12,535,176B Meeting Room,540,60
12,535,176B Meeting Room,900,60
12,536,176C Meeting Room,960,180
12,536,176C Meeting Room,1200,180
12,536,176C Meeting Room,900,60
12,536,176C Meeting Room,540,180
12,536,176C Meeting Room,780,120
12,537,176D Meeting Room,480,360
12,537,176D Meeting Room,915,105
12,411,220 Grand Ballroom,420,30
12,411,220 Grand Ballroom,420,30
12,411,220 Grand Ballroom,420,30
12,411,220 Grand Ballroom,765,60
12,411,220 Grand Ballroom,840,60
12,411,220 Grand Ballroom,690,60
12,411,220 Grand Ballroom,840,60
12,411,220 Grand Ballroom,915,60
12,411,220 Grand Ballroom,990,60
12,411,220 Grand Ballroom,465,60
12,411,220 Grand Ballroom,915,60
12,411,220 Grand Ballroom,990,60
12,411,220 Grand Ballroom,765,60
12,411,220 Grand Ballroom,765,60
12,411,220 Grand Ballroom,585,90
12,411,220 Grand Ballroom,1080,60
12,411,220 Grand Ballroom,480,90
12,411,220 Grand Ballroom,915,165
12,411,220 Grand Ballroom,570,15
12,411,220 Grand Ballroom,585,90
12,236,220A Grand Ballroom Section A,420,30
12,236,220A Grand Ballroom Section A,765,60
12,236,220A Grand Ballroom Section A,840,60
12,236,220A Grand Ballroom Section A,915,60
12,236,220A Grand Ballroom Section A,990,60
12,236,220A Grand Ballroom Section A,1080,60
12,236,220A Grand Ballroom Section A,570,15
12,439,220AB Grand Ballroom Sections A/B,420,30
12,439,220AB Grand Ballroom Sections A/B,420,30
12,439,220AB Grand Ballroom Sections A/B,765,60
12,439,220AB Grand Ballroom Sections A/B,840,60
12,439,220AB Grand Ballroom Sections A/B,840,60
12,439,220AB Grand Ballroom Sections A/B,915,60
12,439,220AB Grand Ballroom Sections A/B,990,60
12,439,220AB Grand Ballroom Sections A/B,915,60
12,439,220AB Grand Ballroom Sections A/B,990,60
12,439,220AB Grand Ballroom Sections A/B,765,60
12,439,220AB Grand Ballroom Sections A/B,1080,60
12,439,220AB Grand Ballroom Sections A/B,480,90
12,439,220AB Grand Ballroom Sections A/B,570,15
12,439,220AB Grand Ballroom Sections A/B,585,90
12,237,220B Grand Ballroom Section B,420,30
12,237,220B Grand Ballroom Section B,840,60
12,237,220B Grand Ballroom Section B,915,60
12,237,220B Grand Ballroom Section B,990,60
12,237,220B Grand Ballroom Section B,765,60
12,237,220B Grand Ballroom Section B,1080,60
12,237,220B Grand Ballroom Section B,480,90
12,237,220B Grand Ballroom Section B,585,90
12,440,220BC Grand Ballroom Sections B and C ,420,30
12,440,220BC Grand Ballroom Sections B and C ,420,30
12,440,220BC Grand Ballroom Sections B and C ,690,60
12,440,220BC Grand Ballroom Sections B and C ,840,60
12,440,220BC Grand Ballroom Sections B and C ,915,60
12,440,220BC Grand Ballroom Sections B and C ,990,60
12,440,220BC Grand Ballroom Sections B and C ,465,60
12,440,220BC Grand Ballroom Sections B and C ,765,60
12,440,220BC Grand Ballroom Sections B and C ,765,60
12,440,220BC Grand Ballroom Sections B and C ,585,90
12,440,220BC Grand Ballroom Sections B and C ,1080,60
12,440,220BC Grand Ballroom Sections B and C ,480,90
12,440,220BC Grand Ballroom Sections B and C ,915,165
12,440,220BC Grand Ballroom Sections B and C ,585,90
12,410,220C Grand Ballroom Section C,420,30
12,410,220C Grand Ballroom Section C,690,60
12,410,220C Grand Ballroom Section C,465,60
12,410,220C Grand Ballroom Section C,765,60
12,410,220C Grand Ballroom Section C,585,90
12,410,220C Grand Ballroom Section C,1080,60
12,410,220C Grand Ballroom Section C,915,165
12,524,231A Crossroads,1020,60
12,530,231B Crossroads Stage,1020,60
12,530,231B Crossroads Stage,600,300
12,472,366 Fireplace Room,720,60
12,472,366 Fireplace Room,915,60
12,472,366 Fireplace Room,600,90
12,538,368 Meeting Room,1140,120
